,radiant_1,radiant_2,radiant_3,radiant_4,radiant_5,dire_1,dire_2,dire_3,dire_4,dire_5,radiant_win,match_id
317,71,52,99,21,9,14,42,73,39,20,1,3905437170
318,114,92,45,23,103,44,21,55,14,26,0,3905437171
319,87,14,119,22,67,104,21,23,113,84,1,3905437174
320,23,48,40,88,112,119,99,35,101,8,0,3905437176
321,71,107,94,44,17,1,32,23,22,68,1,3905437177
322,53,113,59,6,32,44,35,14,105,74,1,3905437179
323,107,23,10,35,30,97,11,114,64,51,0,3905437181
324,5,2,50,41,74,119,52,63,91,72,1,3905437206
325,42,74,14,10,105,20,18,71,36,17,1,3905437209
326,68,22,12,47,97,85,8,30,88,106,1,3905437211
327,42,31,96,63,35,12,14,84,75,2,1,3905437213
328,23,7,8,48,114,93,60,14,11,15,1,3905437214
329,22,120,64,73,114,42,38,23,25,87,1,3905437215
330,10,111,73,120,5,83,104,66,59,98,1,3905437217
331,26,54,71,22,104,109,7,39,20,86,1,3905437218
332,74,33,26,8,19,32,5,76,7,23,1,3905437221
333,99,58,67,56,57,14,30,48,64,34,0,3905437223
334,104,31,14,93,11,9,74,12,7,33,0,3905437225
335,109,56,8,42,32,101,71,79,25,63,1,3905437227
336,14,22,4,104,74,114,84,44,10,26,0,3905437251
337,14,119,114,74,29,17,91,51,22,67,0,3905437259
338,11,14,9,4,18,99,114,30,75,44,0,3905437260
339,74,63,93,27,14,94,42,99,32,22,0,3905437262
340,108,74,88,8,26,106,44,31,71,5,1,3905437263
341,11,79,28,99,103,94,27,114,32,40,0,3905437266
342,60,93,45,84,106,7,86,31,8,59,0,3905437267
343,12,30,37,29,106,114,41,9,119,49,1,3905437287
344,1,25,16,91,14,99,21,12,2,30,1,3905437288
345,44,11,114,75,12,87,39,42,120,14,0,3905437290
346,35,60,27,54,12,2,5,10,61,42,0,3905437291
347,119,5,8,70,21,22,120,35,15,6,0,3905437293
348,1,90,35,101,2,41,30,17,98,42,0,3905437295
349,97,84,93,114,39,2,106,56,25,37,0,3905437297
350,44,64,28,76,14,15,57,32,27,10,0,3905437298
351,11,95,51,48,3,32,96,31,86,93,0,3905437300
352,27,8,26,23,18,54,114,12,51,35,1,3905437301
353,10,39,110,3,108,35,22,109,53,60,1,3905437308
354,104,4,108,99,11,35,56,36,58,44,1,3905437325
355,18,97,23,89,31,71,93,87,39,61,0,3905437330
356,28,9,34,14,54,48,22,105,32,11,0,3905437333
357,31,23,64,70,11,113,57,5,93,76,1,3905437335
358,30,47,7,18,14,94,71,41,31,64,0,3905437336
359,26,64,15,35,18,36,97,48,4,74,0,3905437338
360,26,32,9,96,14,8,75,5,2,72,0,3905437341
361,35,47,90,25,104,94,26,76,32,93,0,3905437374
362,21,35,18,29,105,106,32,23,12,84,1,3905437381
363,6,41,18,22,94,57,13,95,8,39,1,3905437382
364,114,83,18,41,64,12,76,4,108,22,1,3905437383
365,29,17,41,86,9,119,28,10,23,26,0,3905437386
366,18,17,65,30,14,23,8,5,88,110,0,3905437388
367,74,100,89,44,31,120,57,17,6,14,0,3905437389
368,41,34,50,32,105,14,4,49,62,74,0,3905437390
369,14,22,114,57,99,11,31,40,95,69,0,3905437391
370,30,36,120,59,93,87,4,41,81,101,0,3905437393
371,71,14,32,22,84,75,47,4,6,26,1,3905437418
372,67,20,59,88,105,119,63,35,7,18,0,3905437423
373,120,22,60,81,33,114,9,48,7,17,0,3905437426
374,2,12,7,14,22,5,44,17,54,84,0,3905437427
375,17,54,35,71,5,13,1,101,55,22,1,3905437429
376,64,56,17,35,44,14,93,74,9,31,0,3905437430
377,74,26,4,44,14,67,21,3,105,93,1,3905437431
378,109,69,7,39,97,44,51,43,21,31,0,3905437432
379,11,62,30,41,7,14,67,25,86,2,0,3905437434
380,23,104,20,44,12,74,41,18,31,7,0,3905437436
381,15,47,59,4,3,41,74,35,26,104,0,3905437437
382,23,56,71,4,48,6,99,91,18,93,0,3905437458
383,23,4,8,18,44,114,7,35,48,99,0,3905437459
384,30,60,22,73,104,31,44,47,23,14,0,3905437460
385,64,85,120,10,44,9,4,22,32,16,1,3905437463
386,110,40,23,96,93,101,2,114,77,25,1,3905437464
387,35,85,113,12,3,5,7,49,11,10,1,3905437468
388,59,19,14,44,9,95,18,34,98,62,1,3905437471
389,35,8,99,7,36,44,74,71,30,96,0,3905437475
390,23,35,38,9,78,39,48,119,6,75,0,3905437476
391,95,4,8,25,44,97,47,23,72,57,0,3905437480
392,18,85,44,119,11,2,68,64,41,49,1,3905437481
393,110,11,40,19,83,20,7,95,48,62,1,3905437513
394,26,54,89,71,74,76,14,44,39,18,0,3905437514
395,14,86,120,93,15,76,8,21,104,75,0,3905437515
396,64,17,59,68,41,9,48,95,35,4,0,3905437520
397,14,78,7,6,74,84,26,25,54,2,1,3905437521
398,2,5,34,76,48,62,18,16,36,1,1,3905437524
399,20,18,32,29,76,14,17,95,34,31,1,3905437525
400,2,75,34,62,49,18,29,112,6,27,0,3905437526
401,27,69,120,6,72,110,48,71,91,108,0,3905437528
402,28,42,53,14,106,26,93,9,8,30,0,3905437530
403,85,28,44,93,5,101,62,14,41,69,0,3905437532
404,22,17,56,104,67,75,52,108,93,35,1,3905437534
405,23,120,5,64,98,14,74,50,93,16,0,3905437535
406,22,7,63,44,14,70,2,73,19,9,1,3905437556
407,31,35,4,63,114,68,46,70,21,108,0,3905437557
408,47,112,16,59,86,98,20,45,41,22,1,3905437560
409,75,93,7,58,99,92,85,94,90,18,0,3905437565
410,35,29,2,32,33,23,98,74,83,58,0,3905437566
411,93,11,22,105,44,42,14,77,82,35,0,3905437567
412,32,2,35,22,4,23,63,41,101,87,1,3905437568
413,9,54,34,27,52,22,110,84,40,67,0,3905437570
414,41,4,75,22,114,105,8,36,11,2,1,3905437571
415,75,95,39,44,5,14,94,21,71,35,0,3905437575
416,97,8,71,11,5,104,76,100,26,56,1,3905437577
417,22,85,34,48,14,11,2,5,53,35,1,3905437604
418,22,1,34,32,14,6,59,41,3,7,0,3905437605
419,35,15,8,22,47,41,21,7,56,6,0,3905437606
420,106,42,32,5,63,119,56,9,48,30,1,3905437611
421,35,62,101,4,93,2,33,114,11,8,1,3905437612
422,21,87,10,3,74,108,44,26,23,53,1,3905437613
423,84,11,110,8,71,101,1,96,9,106,0,3905437628
424,91,119,41,34,56,55,28,93,76,62,1,3905437629
425,98,44,58,74,104,7,34,57,112,41,1,3905437636
426,103,48,59,114,56,32,97,44,22,26,0,3905437637
427,25,1,71,8,112,7,43,88,12,46,1,3905437639
428,26,60,48,11,58,21,104,46,93,119,1,3905437640
429,6,59,40,119,7,74,26,67,105,19,1,3905437642
430,70,50,38,58,47,44,49,5,35,108,0,3905437646
431,14,5,35,34,18,7,11,21,60,8,0,3905437647
432,6,84,34,119,41,31,106,36,69,10,1,3905437649
433,25,48,68,49,14,47,38,1,65,51,1,3905437655
434,98,11,23,54,5,14,12,73,17,103,1,3905437656
435,70,27,81,32,59,16,44,14,12,35,1,3905437683
436,107,22,104,35,18,78,2,40,8,9,0,3905437685
437,93,87,74,27,32,56,75,51,45,35,1,3905437688
438,11,14,100,88,2,48,5,8,44,56,1,3905437690
439,100,25,20,104,82,14,51,18,91,40,0,3905437691
440,75,41,93,45,22,81,34,47,30,28,0,3905437696
441,113,17,57,16,40,44,86,47,101,88,1,3905437697
442,32,49,44,4,104,9,11,62,41,17,0,3905437701
443,4,52,112,95,14,102,35,56,21,99,0,3905437702
444,35,109,29,4,20,26,36,51,18,68,1,3905437705
445,109,62,99,44,66,18,5,93,98,22,0,3905437706
446,113,63,112,34,12,86,114,110,7,75,1,3905437728
447,8,7,76,62,84,32,47,98,71,93,1,3905437734
448,84,104,30,72,57,56,42,65,22,5,1,3905437743
449,2,90,88,65,26,99,18,27,35,47,1,3905437744
450,44,18,42,57,64,26,104,35,91,2,1,3905437745
451,93,14,34,29,6,81,21,30,70,74,1,3905437746
452,5,41,94,27,45,63,12,22,7,104,0,3905437747
453,21,47,16,54,5,113,64,104,65,46,1,3905437775
454,87,6,94,51,71,83,97,18,67,101,1,3905437776
455,31,16,74,22,94,86,88,102,59,8,0,3905437777
456,51,87,77,8,74,106,46,62,101,38,0,3905437778
457,88,114,14,11,27,110,16,54,71,6,0,3905437781
458,44,86,49,57,9,64,85,43,67,103,0,3905437783
459,101,104,42,76,58,99,40,100,36,17,1,3905437785
460,25,14,41,94,27,17,1,120,75,3,0,3905437808
461,43,84,44,51,75,63,3,22,8,110,1,3905437809
462,57,4,6,119,100,44,58,47,27,71,1,3905437810
463,27,46,93,100,21,67,22,9,99,86,0,3905437811
464,62,71,104,8,101,17,70,20,27,56,1,3905437812
465,31,93,86,120,69,23,100,63,22,83,0,3905437815
466,114,39,6,64,14,44,49,97,30,11,1,3905437816
467,22,44,47,70,14,46,77,21,6,32,1,3905437820
468,81,9,44,1,30,35,21,18,83,2,1,3905437840
469,35,114,119,28,7,99,84,60,8,11,1,3905437843
470,62,50,99,19,44,6,93,2,18,21,0,3905437845
